Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1990,1990,3050,FAO TIER 1,kilotonnes,6768.3617,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1991,1991,3050,FAO TIER 1,kilotonnes,6768.3617,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1992,1992,3050,FAO TIER 1,kilotonnes,6768.3617,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1993,1993,3050,FAO TIER 1,kilotonnes,6768.3617,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1994,1994,3050,FAO TIER 1,kilotonnes,6768.3617,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1995,1995,3050,FAO TIER 1,kilotonnes,6806.3595,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1996,1996,3050,FAO TIER 1,kilotonnes,6809.8919,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1997,1997,3050,FAO TIER 1,kilotonnes,6832.6662,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1998,1998,3050,FAO TIER 1,kilotonnes,6834.4443,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),1999,1999,3050,FAO TIER 1,kilotonnes,6844.6253,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2000,2000,3050,FAO TIER 1,kilotonnes,6834.5582,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2001,2001,3050,FAO TIER 1,kilotonnes,6836.7559,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2002,2002,3050,FAO TIER 1,kilotonnes,6832.0198,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2003,2003,3050,FAO TIER 1,kilotonnes,6826.7534,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2004,2004,3050,FAO TIER 1,kilotonnes,6825.6064,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2005,2005,3050,FAO TIER 1,kilotonnes,6816.6681,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2006,2006,3050,FAO TIER 1,kilotonnes,6820.6935,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2007,2007,3050,FAO TIER 1,kilotonnes,6818.8329,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2008,2008,3050,FAO TIER 1,kilotonnes,6818.1031,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2009,2009,3050,FAO TIER 1,kilotonnes,6827.5659,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2010,2010,3050,FAO TIER 1,kilotonnes,6825.7383,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2011,2011,3050,FAO TIER 1,kilotonnes,6826.7071,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2012,2012,3050,FAO TIER 1,kilotonnes,6824.6313,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2013,2013,3050,FAO TIER 1,kilotonnes,6823.6681,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2014,2014,3050,FAO TIER 1,kilotonnes,6818.6181,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2015,2015,3050,FAO TIER 1,kilotonnes,6816.9572,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2016,2016,3050,FAO TIER 1,kilotonnes,6807.3356,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,6807.5974,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2018,2018,3050,FAO TIER 1,kilotonnes,6810.0146,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2019,2019,3050,FAO TIER 1,kilotonnes,6751.7184,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),67292,Drained organic soils (CO2),2020,2020,3050,FAO TIER 1,kilotonnes,6746.5569,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1990,1990,3050,FAO TIER 1,kilotonnes,34923.7025,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1991,1991,3050,FAO TIER 1,kilotonnes,36767.1039,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1992,1992,3050,FAO TIER 1,kilotonnes,36511.8633,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1993,1993,3050,FAO TIER 1,kilotonnes,39543.0638,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1994,1994,3050,FAO TIER 1,kilotonnes,39973.8213,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1995,1995,3050,FAO TIER 1,kilotonnes,41042.2048,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1996,1996,3050,FAO TIER 1,kilotonnes,45008.0743,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1997,1997,3050,FAO TIER 1,kilotonnes,46963.906,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1998,1998,3050,FAO TIER 1,kilotonnes,42812.7404,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,1999,1999,3050,FAO TIER 1,kilotonnes,40607.6936,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2000,2000,3050,FAO TIER 1,kilotonnes,39819.5759,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2001,2001,3050,FAO TIER 1,kilotonnes,37055.7192,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2002,2002,3050,FAO TIER 1,kilotonnes,38836.132,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2003,2003,3050,FAO TIER 1,kilotonnes,42862.387,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2004,2004,3050,FAO TIER 1,kilotonnes,43494.1661,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2005,2005,3050,FAO TIER 1,kilotonnes,42525.4464,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2006,2006,3050,FAO TIER 1,kilotonnes,45681.1626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2007,2007,3050,FAO TIER 1,kilotonnes,21605.3182,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2008,2008,3050,FAO TIER 1,kilotonnes,23541.858,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2009,2009,3050,FAO TIER 1,kilotonnes,25455.7372,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2010,2010,3050,FAO TIER 1,kilotonnes,21477.11,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2011,2011,3050,FAO TIER 1,kilotonnes,17163.1369,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2012,2012,3050,FAO TIER 1,kilotonnes,14437.4147,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2013,2013,3050,FAO TIER 1,kilotonnes,51091.8101,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2014,2014,3050,FAO TIER 1,kilotonnes,47298.9698,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2015,2015,3050,FAO TIER 1,kilotonnes,16248.6593,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2016,2016,3050,FAO TIER 1,kilotonnes,13562.2169,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,11393.0855,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2018,2018,3050,FAO TIER 1,kilotonnes,9970.0968,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2019,2019,3050,FAO TIER 1,kilotonnes,5959.5459,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6994,On-farm energy use,2020,2020,3050,FAO TIER 1,kilotonnes,5959.5459,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1990,1990,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1991,1991,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1992,1992,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1993,1993,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1994,1994,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1995,1995,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1996,1996,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1997,1997,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1998,1998,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,1999,1999,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2000,2000,3050,FAO TIER 1,kilotonnes,-227396.9133,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2001,2001,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2002,2002,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2003,2003,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2004,2004,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2005,2005,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2006,2006,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2007,2007,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2008,2008,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2009,2009,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2010,2010,3050,FAO TIER 1,kilotonnes,-24494.5727,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2011,2011,3050,FAO TIER 1,kilotonnes,-71115.44,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2012,2012,3050,FAO TIER 1,kilotonnes,-71115.44,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2013,2013,3050,FAO TIER 1,kilotonnes,-71115.44,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2014,2014,3050,FAO TIER 1,kilotonnes,-71115.44,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2015,2015,3050,FAO TIER 1,kilotonnes,-71115.44,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2016,2016,3050,FAO TIER 1,kilotonnes,-40537.2,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2017,2017,3050,FAO TIER 1,kilotonnes,-40537.2,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2018,2018,3050,FAO TIER 1,kilotonnes,-40537.2,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2019,2019,3050,FAO TIER 1,kilotonnes,-40537.2,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6751,Forestland,2020,2020,3050,FAO TIER 1,kilotonnes,-40537.2,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1990,1990,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1991,1991,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1992,1992,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1993,1993,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1994,1994,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1995,1995,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1996,1996,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1997,1997,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1998,1998,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,1999,1999,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2000,2000,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2001,2001,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2002,2002,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2003,2003,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2004,2004,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2005,2005,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2006,2006,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2007,2007,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2008,2008,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2009,2009,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2010,2010,3050,FAO TIER 1,kilotonnes,23187.626,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2011,2011,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2012,2012,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2013,2013,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2014,2014,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2015,2015,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2016,2016,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2018,2018,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2019,2019,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6750,Net Forest conversion,2020,2020,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1990,1990,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1991,1991,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1992,1992,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1993,1993,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1994,1994,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1995,1995,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1996,1996,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1997,1997,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1998,1998,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,1999,1999,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2000,2000,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2001,2001,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2002,2002,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2003,2003,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2004,2004,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2005,2005,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2006,2006,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2007,2007,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2008,2008,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2009,2009,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2010,2010,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2011,2011,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2012,2012,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2013,2013,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2014,2014,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2015,2015,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2016,2016,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2018,2018,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2019,2019,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6993,Fires in organic soils,2020,2020,3050,FAO TIER 1,kilotonnes,0,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1990,1990,3050,FAO TIER 1,kilotonnes,754.4692,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1991,1991,3050,FAO TIER 1,kilotonnes,749.5552,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1992,1992,3050,FAO TIER 1,kilotonnes,751.4025,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1993,1993,3050,FAO TIER 1,kilotonnes,750.508,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1994,1994,3050,FAO TIER 1,kilotonnes,755.0224,E,Estimated value,
GT,Emissions Totals,356,India,7273,Emissions (CO2),6991,Food systems waste disposal,1995,1995,3050,FAO TIER 1,kilotonnes,757.7585,E,Estimated value,
